year|USA_Soybean oil%|WORLD_Soybean oil|USA_Cotton%|WORLD_Cotton|USA_Soybeans%|WORLD_Soybeans|USA_Barley%|WORLD_Barley|USA_Rice%|WORLD_Rice|USA_Pork%|WORLD_Pork|USA_Poultry%|WORLD_Poultry|USA_Wheat%|WORLD_Wheat|USA_Sorghum%|WORLD_Sorghum|USA_Corn%|WORLD_Corn|USA_Beef%|WORLD_Beef|USA_Soybean meal%|WORLD_Soybean meal
2016|18.69|53684.0|16.1|106628.0|33.59|348121.0|2.96|147167.0|1.46|487368.0|9.8|115559.0|18.59|114184.0|8.35|752083.0|19.25|63373.0|35.68|1078309.0|16.79|68539.0|18.03|225383.0
2017|19.64|54949.0|16.94|123529.0|35.57|337452.0|2.14|144271.0|1.15|491517.0|9.96|116561.0|18.54|116766.0|6.24|758738.0|16.06|57552.0|35.87|1034226.0|17.1|69829.0|19.29|231342.0
2018|18.85|57542.0|16.24|121657.0|34.54|369479.0|2.36|141254.0|1.42|487759.0|10.11|118592.0|18.47|119243.0|7.02|730922.0|16.38|59211.0|35.14|1068305.0|17.25|71232.0|18.32|242379.0
2019|18.53|58697.0|17.4|127884.0|31.05|358470.0|2.44|146176.0|1.34|493005.0|10.49|120327.0|18.35|122197.0|7.39|758426.0|14.37|59549.0|34.54|1098029.0|17.64|72117.0|18.04|247982.0
2020|18.33|60127.0|15.56|129982.0|30.74|366047.0|2.45|147319.0|1.29|496054.0|10.52|121808.0|18.01|124368.0|7.23|767481.0|14.14|60535.0|34.4|1128423.0|17.79|73095.0|17.81|253903.0
2021|18.14|61377.0|15.03|135467.0|30.53|374827.0|2.57|148453.0|1.29|499565.0|10.48|123294.0|17.85|126884.0|7.14|775727.0|14.17|61477.0|34.12|1150051.0|17.64|73765.0|17.61|259071.0
2022|17.89|62897.0|14.51|141295.0|30.15|385435.0|2.58|149515.0|1.31|503244.0|10.47|124713.0|17.65|129406.0|7.05|784271.0|13.99|62281.0|33.89|1170662.0|17.5|74434.0|17.36|265461.0
2023|17.59|64606.0|14.32|145355.0|29.85|396140.0|2.68|150844.0|1.31|506637.0|10.45|126187.0|17.43|132022.0|7.04|792182.0|13.81|63107.0|33.69|1190793.0|17.45|75205.0|17.07|272701.0
2024|17.41|66229.0|14.16|149321.0|29.6|405909.0|2.7|151831.0|1.3|509925.0|10.37|127843.0|17.23|134916.0|7.02|800701.0|13.61|64026.0|33.39|1207167.0|17.41|75983.0|16.88|279499.0
2025|17.23|67771.0|14.01|153248.0|29.44|415032.0|2.69|152959.0|1.3|513170.0|10.35|129122.0|17.01|137767.0|6.93|808119.0|13.65|65124.0|33.21|1226703.0|17.35|76704.0|16.69|285951.0
2026|17.07|69210.0|13.96|156181.0|29.18|422980.0|2.7|154168.0|1.3|516486.0|10.35|130548.0|16.79|140474.0|6.91|816737.0|13.46|66032.0|33.01|1247180.0|17.29|77445.0|16.53|291969.0
2027|16.9|70743.0|13.87|159606.0|29.05|431851.0|2.71|155280.0|1.3|519926.0|10.32|132118.0|16.54|143223.0|6.83|824642.0|13.27|67010.0|32.72|1264051.0|17.21|78168.0|16.34|298329.0
2028|16.68|72351.0|13.76|163186.0|28.74|440839.0|2.7|156387.0|1.3|523064.0|10.33|133627.0|16.31|145852.0|6.81|833002.0|13.08|67949.0|32.41|1281652.0|17.12|78879.0|16.15|305108.0
